rank,company,industry,revenue, city ,state,zip,website,employees,ceo
368,Andersons,Food Production,"11,60,00,00,000", Maumee ,Ohio,43537,andersonsinc.com,"2,262",William Krueger
369,Williams,Pipelines,"11,58,00,00,000", Tulsa ,Oklahoma,74172,williams.com,"5,829",Alan Armstrong
370,Berry Global,"Packaging, Containers","11,50,00,00,000", Evansville ,Indiana,47710,berryglobal.com,"42,000",Kevin Kwilinski
371,Yum China,Food Services,"11,50,00,00,000", Plano ,Texas,75074,yumchina.com,"2,45,500",Joey Wat
372,Hershey,Food Consumer Products,"11,49,00,00,000", Hershey ,Pennsylvania,17033,thehersheycompany.com,"19,285",Michele Buck
373,Westlake,Chemicals,"11,48,00,00,000", Houston ,Texas,77056,westlake.com,"15,540",Jean-Marc Gilson
374,Conagra Brands,Food Consumer Products,"11,45,00,00,000", Chicago ,Illinois,60654,conagrabrands.com,"18,500",Sean Connolly
375,Caesars Entertainment,"Hotels, Casinos, Resorts","11,37,00,00,000", Reno ,Nevada,89501,caesars.com,"50,000",Thomas Reeg
376,Motorola Solutions,Network and Other Communications Equipment,"11,31,00,00,000", Chicago ,Illinois,60661,motorolasolutions.com,"21,000",Gregory Brown
377,Oscar Health,Health Care: Insurance and Managed Care,"11,29,00,00,000", New York ,New York,10013,hioscar.com,"2,400",Mark Bertolini
378,Molson Coors Beverage,Beverages,"11,21,00,00,000", Chicago ,Illinois,60606,molsoncoors.com,"16,800",Gavin Hattersley
379,Burlington Stores,Specialty Retailers: Apparel,"11,19,00,00,000", Burlington ,New Jersey,8016,burlingtoninvestors.com,"47,295",Michael OâSullivan
380,Expeditors International of Washington,Transportation and Logistics,"11,17,00,00,000", Bellevue ,Washington,98006,expeditors.com,"18,917",Daniel Wall
381,International Flavors & Fragrances,Chemicals,"11,07,00,00,000", New York ,New York,10019,iff.com,"22,400",Erik Fyrwald
382,Baxter International,Medical Products and Equipment,"11,02,00,00,000", Deerfield ,Illinois,60015,baxter.com,"38,000",Brent Shafer
383,Analog Devices,Semiconductors and Other Electronic Components,"11,02,00,00,000", Wilmington ,Massachusetts,1887,analog.com,"24,000",Vincent Roche
384,Hilton,"Hotels, Casinos, Resorts","11,00,00,00,000", McLean ,Virginia,22102,hilton.com,"1,81,000",Christopher Nassetta
385,Toll Brothers,Homebuilders,"10,97,00,00,000", Fort Washington ,Pennsylvania,19034,tollbrothers.com,"4,900",Douglas Yearley Jr.
386,Thrivent Financial for Lutherans,"Insurance: Life, Health (Mutual)","10,91,80,00,000", Minneapolis ,Minnesota,55415,thrivent.com,"3,983",Teresa Rasmussen
387,Quest Diagnostics,Health Care: Pharmacy and Other Services,"10,85,00,00,000", Secaucus ,New Jersey,7094,questdiagnostics.com,"50,500",James Davis
388,Interpublic,"Advertising, Marketing","10,80,00,00,000", New York ,New York,10022,interpublic.com,"53,300",Philippe Krakowsky
389,Westinghouse Air Brake Technologies,Industrial Machinery,"10,79,00,00,000", Pittsburgh ,Pennsylvania,15212,wabteccorp.com,"29,500",Rafael Santana
390,Owens & Minor,Wholesalers: Health Care,"10,77,00,00,000", Glen Allen ,Virginia,23060,owens-minor.com,"23,200",Edward Pesicka
391,Mohawk Industries,"Home Equipment, Furnishings","10,72,00,00,000", Calhoun ,Georgia,30701,mohawkind.com,"41,900",Jeffrey Lorberbaum
392,Ebay,Internet Services and Retailing,"10,71,00,00,000", San Jose ,California,95125,ebay.com,"11,500",Jamie Iannone
393,Delek US,Petroleum Refining,"10,67,00,00,000", Brentwood ,Tennessee,37027,delekus.com,"1,987",Avigal Soreq
394,NVR,Homebuilders,"10,58,00,00,000", Reston ,Virginia,20190,nvrinc.com,"7,000",Eugene Bredow
395,Cintas,Diversified Outsourcing Services,"10,56,00,00,000", Cincinnati ,Ohio,45262,cintas.com,"46,500",Todd Schneider
396,Ally Financial,Diversified Financials,"10,50,00,00,000", Detroit ,Michigan,48226,ally.com,"10,700",Michael Rhodes
397,Lululemon athletica,Specialty Retailers: Apparel,"10,50,00,00,000", Sumner ,Washington,98390,lululemon.com,"39,000",Calvin McDonald
398,A-Mark Precious Metals,Wholesalers: Diversified,"10,50,00,00,000", El Segundo ,California,90245,amark.com,486,Gregory Roberts
399,Fidelity National Information,Financial Data Services,"10,46,00,00,000", Jacksonville ,Florida,32202,fisglobal.com,"50,000",Stephanie Ferris
400,American Tower,Real Estate,"10,45,00,00,000", Boston ,Massachusetts,2116,americantower.com,"4,691",Steven Vondran
401,FM,Insurance: Property and Casualty (Stock),"10,41,40,00,000", Johnston ,Rhode Island,2919,fm.com,"5,845",Malcolm Roberts
402,Autoliv,Motor Vehicles & Parts,"10,40,00,00,000", Auburn Hills ,Michigan,48326,autoliv.com,"62,266",Mikael Bratt
403,Oshkosh,Construction and Farm Machinery,"10,33,00,00,000", Oshkosh ,Wisconsin,54902,oshkoshcorp.com,"18,500",John Pfeifer
404,Campbell's,Food Consumer Products,"10,16,00,00,000", Camden ,New Jersey,8103,thecampbellscompany.com,"14,400",Mick Beekhuizen
405,Western Digital,"Computers, Office Equipment","10,13,00,00,000", San Jose ,California,95119,westerndigital.com,"51,000",Tiang Yew Tan
406,Global Payments,Financial Data Services,"10,08,00,00,000", Atlanta ,Georgia,30326,globalpaymentsinc.com,"27,000",Cameron Bready
407,Biogen,Pharmaceuticals,"10,07,00,00,000", Cambridge ,Massachusetts,2142,biogen.com,"7,605",Christopher Viehbacher
408,AGCO,Construction and Farm Machinery,"10,05,00,00,000", Duluth ,Georgia,30096,agcocorp.com,"24,000",Eric Hansotia
409,Dana,Motor Vehicles & Parts,"9,96,00,00,000", Maumee ,Ohio,43537,dana.com,"39,600",Bruce McDonald
410,Welltower,Real Estate,"9,91,00,00,000", Toledo ,Ohio,43615,welltower.com,685,Shankh Mitra
411,THOR Industries,Motor Vehicles & Parts,"9,83,00,00,000", Elkhart ,Indiana,46514,thorindustries.com,"22,300",Robert Martin
412,Seaboard,Food Production,"9,82,00,00,000", Merriam ,Kansas,66202,seaboardcorp.com,"14,000",Robert Steer
413,Intercontinental Exchange,Securities,"9,75,00,00,000", Atlanta ,Georgia,30328,ice.com,"12,920",Jeffrey Sprecher
414,Concentrix,Information Technology Services,"9,72,00,00,000", Newark ,California,94560,concentrix.com,"4,50,000",Christopher Caldwell
415,Celanese,Chemicals,"9,71,00,00,000", Irving ,Texas,75039,celanese.com,"12,163",Scott Richardson
416,Vertiv,"Electronics, Electrical Equip.","9,70,00,00,000", Westerville ,Ohio,43082,vertiv.com,"31,000",Giordano Albertazzi
417,Synchrony Financial,Diversified Financials,"9,65,00,00,000", Stamford ,Connecticut,6902,synchrony.com,"20,000",Brian Doubles
418,Constellation Brands,Beverages,"9,62,00,00,000", Victor ,New York,14564,cbrands.com,"9,300",William Newlands
419,Intuitive Surgical,Medical Products and Equipment,"9,61,00,00,000", Sunnyvale ,California,94086,intuitive.com,"15,638",Gary Guthart
420,Palo Alto Networks,Network and Other Communications Equipment,"9,56,00,00,000", Santa Clara ,California,95054,paloaltonetworks.com,"15,289",Nikesh Arora
421,WEC Energy,Utilities: Gas and Electric,"9,55,00,00,000", Milwaukee ,Wisconsin,53203,wecenergygroup.com,"7,017",Scott Lauber
422,VF,Apparel,"9,54,00,00,000", Denver ,Colorado,80202,vfc.com,"24,000",Bracken Darrell
423,SpartanNash,Wholesalers: Food and Grocery,"9,50,00,00,000", Byron Center ,Michigan,49315,spartannash.com,"15,000",Tony Sarsam
424,QVC,Internet Services and Retailing,"9,50,00,00,000", Englewood ,Colorado,80112,qvcgrp.com,"18,984",David Rawlinson II
425,Ace Hardware,Wholesalers: Diversified,"9,49,10,00,000", Oak Brook ,Illinois,60523,acehardware.com,"12,500",John Venhuizen
426,Zoetis,Pharmaceuticals,"9,40,00,00,000", Parsippany ,New Jersey,7054,zoetis.com,"13,800",Kristin Peck
427,APA,"Mining, Crude-Oil Production","9,38,00,00,000", Houston ,Texas,77042,apacorp.com,"2,305",John Christmann IV
428,Skechers U.S.A.,Apparel,"9,30,00,00,000", Manhattan Beach ,California,90266,skechers.com,"15,100",Robert Greenberg
429,Icahn Enterprises,Diversified Financials,"9,26,00,00,000", Sunny Isles Beach ,Florida,33160,ielp.com,"15,037",Andrew Teno
430,Workday,Computer Software,"9,23,00,00,000", Pleasanton ,California,94588,workday.com,"20,482",Carl Eschenbach
431,CenterPoint Energy,Utilities: Gas and Electric,"9,11,00,00,000", Houston ,Texas,77002,centerpointenergy.com,"8,872",Jason Wells
432,JetBlue Airways,Airlines,"9,10,00,00,000", Long Island City ,New York,11101,jetblue.com,"19,822",Joanna Geraghty
433,Prologis,Real Estate,"9,10,00,00,000", San Francisco ,California,94111,prologis.com,"2,703",Hamid Moghadam
434,M&T Bank,Commercial Banks,"9,08,00,00,000", Buffalo ,New York,14203,mtb.com,"22,101",RenÃ© Jones
435,Equinix,Real Estate,"9,08,00,00,000", Redwood City ,California,94065,equinix.com,"13,606",Adaire Fox-Martin
436,Eastman Chemical,Chemicals,"9,02,00,00,000", Kingsport ,Tennessee,37660,eastman.com,"14,000",Mark Costa
437,Altice USA,Telecommunications,"9,00,00,00,000", Long Island City ,New York,11101,alticeusa.com,"10,900",Dennis Mathew
438,PPL,Utilities: Gas and Electric,"8,98,00,00,000", Allentown ,Pennsylvania,18101,pplweb.com,"6,653",Vincent Sorgi
439,First Citizens BancShares,Commercial Banks,"8,90,00,00,000", Raleigh ,North Carolina,27609,firstcitizens.com,"17,333",Frank Holding Jr.
440,Xylem,Industrial Machinery,"8,89,00,00,000", Washington ,District Of Columbia,20003,xylem.com,"23,000",Matthew Pine
441,CACI International,Information Technology Services,"8,86,00,00,000", Reston ,Virginia,20190,caci.com,"24,000",John Mengucci
442,TransDigm,Aerospace & Defense,"8,83,00,00,000", Cleveland ,Ohio,44115,transdigm.com,"16,600",Kevin Stein
443,PVH,Apparel,"8,82,00,00,000", New York ,New York,10017,pvh.com,"22,000",Stefan Larsson
444,Ovintiv,"Mining, Crude-Oil Production","8,79,00,00,000", Denver ,Colorado,80202,ovintiv.com,"1,623",Brendan McCracken
445,NOV,"Oil and Gas Equipment, Services","8,78,00,00,000", Houston ,Texas,77042,nov.com,"34,010",Clay Williams
446,Avery Dennison,"Packaging, Containers","8,77,00,00,000", Mentor ,Ohio,44060,averydennison.com,"35,000",Deon Stander
447,Franklin Resources,Securities,"8,77,00,00,000", San Mateo ,California,94403,franklinresources.com,"10,200",Jennifer Johnson
448,Packaging Corp. of America,"Packaging, Containers","8,77,00,00,000", Lake Forest ,Illinois,60045,packagingcorp.com,"15,400",Mark Kowlzan
449,J.M. Smucker,Food Consumer Products,"8,77,00,00,000", Orrville ,Ohio,44667,jmsmucker.com,"9,000",Mark Smucker
